"id","x","y","bio1","bio12","climColor","geoColor"
1,-41.6666666666667,85,0.0402897238569488,0.107288365776369,"#A400EF","#00D6A3"
2,-38.3333333333333,85,0.0375735626980534,0.110004526935265,"#A200EF","#00D59E"
3,-35,85,0.034857401539158,0.113173381620643,"#A100EF","#00D599"
4,-31.6666666666667,85,0.0271616115889543,0.123585332729742,"#9C00EF","#00D495"
5,-28.3333333333333,85,0.038026256224536,0.0928021729289271,"#A900F1","#00D490"
6,-25,85,0.0398370303304663,0.0873698506111363,"#AB00F2","#00D38B"
7,-101.666666666667,81.6666666666667,0.0117700316885469,0.06337709370756,"#B000F9","#00CEE3"
8,-98.3333333333333,81.6666666666667,0.0122227252150294,0.0620190131281123,"#B000F9","#00D0E2"
9,-95,81.6666666666667,0.009506564056134,0.0669986419194206,"#AE00F8","#00D2E1"
10,-91.6666666666667,81.6666666666667,0.00452693526482571,0.069714803078316,"#AC00F9","#00D5E0"
11,-88.3333333333333,81.6666666666667,0.00905387052965143,0.0593028519692168,"#B100F9","#00D7DE"
12,-85,81.6666666666667,0.00497962879130828,0.0733363512901766,"#AB00F8","#00DADD"
13,-81.6666666666667,81.6666666666667,0.00362154821186057,0.0964237211407877,"#A300F6","#00DCDC"
14,-78.3333333333333,81.6666666666667,0.003168854685378,0.12675418741512,"#9700F2","#00DBD7"
15,-75,81.6666666666667,0.00407424173834314,0.146220009053871,"#9000F0","#00DAD2"
16,-71.6666666666667,81.6666666666667,0.012675418741512,0.137618832050702,"#9500EF","#00D9CD"
17,-68.3333333333333,81.6666666666667,0.0226346763241286,0.121774558623812,"#9C00F0","#00D8C9"
18,-65,81.6666666666667,0.0339520144861928,0.121321865097329,"#9E00EE","#00D7C4"
19,-61.6666666666667,81.6666666666667,0.0393843368039837,0.134902670891806,"#9900EB","#00D6BF"
20,-58.3333333333333,81.6666666666667,0.0294250792213671,0.182435491172476,"#8600E7","#00D5BA"
21,-55,81.6666666666667,0.025350837483024,0.204617473970122,"#7D00E5","#00D4B5"
22,-51.6666666666667,81.6666666666667,0.0267089180624717,0.208239022181983,"#7B00E5","#00D3B0"
23,-48.3333333333333,81.6666666666667,0.0289723856948846,0.199637845178814,"#7F00E5","#00D3AB"
24,-45,81.6666666666667,0.0307831598008148,0.191489361702128,"#8200E6","#00D2A7"
25,-41.6666666666667,81.6666666666667,0.0185604345857854,0.236758714350385,"#6F00E3","#00D1A2"
26,-38.3333333333333,81.6666666666667,0.0131281122679946,0.263467632412856,"#6400E2","#00D19D"
27,-35,81.6666666666667,0.0176550475328203,0.23947487550928,"#6E00E3","#00D098"
28,-31.6666666666667,81.6666666666667,0.0235400633770937,0.205522861023087,"#7C00E6","#00CF93"
29,-28.3333333333333,81.6666666666667,0.0217292892711634,0.175645088275238,"#8700E9","#00CF8E"
30,-25,81.6666666666667,0.0334993209597103,0.139429606156632,"#9700EC","#00CE8A"
31,-21.6666666666667,81.6666666666667,0.0357627885921231,0.133997283838841,"#9900EC","#00CE85"
32,-18.3333333333333,81.6666666666667,0.0484382073336351,0.140334993209597,"#9800E9","#00CE80"
33,-15,81.6666666666667,0.0878225441376188,0.141693073789045,"#9E00E3","#00CD7B"
34,-11.6666666666667,81.6666666666667,0.106382978723404,0.167496604798551,"#9600DD","#00CD77"
35,15,81.6666666666667,0.187415119963785,0.201448619284744,"#9600CA","#00CD52"
36,18.3333333333333,81.6666666666667,0.182435491172476,0.2077863286555,"#9200CA","#00CE4E"
37,21.6666666666667,81.6666666666667,0.181530104119511,0.243549117247623,"#8200C5","#00CE49"
38,25,81.6666666666667,0.185151652331372,0.288818469895881,"#6D00BD","#00CE45"
39,28.3333333333333,81.6666666666667,0.207333635129018,0.289723856948846,"#7100B9","#00CF40"
40,31.6666666666667,81.6666666666667,0.203259393390675,0.291987324581258,"#6F00B9","#00CF3C"
41,35,81.6666666666667,0.198279764599366,0.281575373472159,"#7300BC","#00D038"
42,38.3333333333333,81.6666666666667,0.189678587596197,0.274332277048438,"#7500BE","#00D134"
43,45,81.6666666666667,0.152105024898144,0.235400633770937,"#8100CB","#00D22B"
44,48.3333333333333,81.6666666666667,0.144861928474423,0.228610230873699,"#8300CD","#00D327"
45,51.6666666666667,81.6666666666667,0.127659574468085,0.224535989135355,"#8200D1","#00D323"
46,55,81.6666666666667,0.101403349932096,0.220914440923495,"#8000D6","#00D41F"
47,58.3333333333333,81.6666666666667,0.0819375282933454,0.218650973291082,"#7E00DA","#00D51B"
48,61.6666666666667,81.6666666666667,0.0810321412403803,0.180624717066546,"#8D00DF","#00D617"
49,65,81.6666666666667,0.0909913988229968,0.153915799004074,"#9900E1","#00D713"
50,78.3333333333334,81.6666666666667,0.0647351742870077,0.128112267994568,"#9F00E8","#00DB04"
51,81.6666666666667,81.6666666666667,0.06337709370756,0.119058397464916,"#A300EA","#00DC00"
52,91.6666666666667,81.6666666666667,0.0434585785423268,0.0995925758261657,"#A700EF","#0BE000"
53,95,81.6666666666667,0.0298777727478497,0.134449977365324,"#9800ED","#0EE100"
54,98.3333333333334,81.6666666666667,0.0384789497510186,0.138976912630149,"#9800EB","#12E200"
55,-121.666666666667,78.3333333333333,0.0239927569035763,0.053870529651426,"#B500F8","#00B9E8"
56,-118.333333333333,78.3333333333333,0.0212765957446809,0.0574920778632866,"#B300F8","#00BBE7"
57,-115,78.3333333333333,0.0203712086917157,0.0511543684925306,"#B500F9","#00BDE5"
58,-111.666666666667,78.3333333333333,0.0162969669533726,0.0461747397012223,"#B600FA","#00BFE4"
59,-108.333333333333,78.3333333333333,0.0172023540063377,0.0439112720688094,"#B700FA","#00C1E2"
60,-105,78.3333333333333,0.0144861928474423,0.0565866908103214,"#B200F9","#00C3E1"
61,-101.666666666667,78.3333333333333,0.0135808057944771,0.0719782707107288,"#AD00F7","#00C5E0"
62,-98.3333333333333,78.3333333333333,0.0194658216387506,0.0692621095518334,"#AF00F7","#00C8DE"
63,-95,78.3333333333333,0.0208239022181983,0.0751471253961068,"#AD00F6","#00CADD"
64,-91.6666666666667,78.3333333333333,0.0113173381620643,0.0932548664554097,"#A500F5","#00CCDC"
65,-88.3333333333333,78.3333333333333,0.0149388863739249,0.0860117700316885,"#A800F5","#00CFDB"
66,-85,78.3333333333333,0.0199185151652331,0.082390221819828,"#AA00F5","#00D1D9"
67,-81.6666666666667,78.3333333333333,0.01584427342689,0.115436849253056,"#9D00F1","#00D4D8"
68,-78.3333333333333,78.3333333333333,0.0140334993209597,0.145314622000905,"#9200EE","#00D6D7"
69,-75,78.3333333333333,0.0244454504300589,0.111815301041195,"#A000F1","#00D6D3"
70,-71.6666666666667,78.3333333333333,0.0579447713897691,0.100045269352648,"#A900ED","#00D5CE"
71,-68.3333333333333,78.3333333333333,0.0611136260751471,0.142145767315527,"#9900E7","#00D4C9"
72,-65,78.3333333333333,0.0448166591217746,0.19013128112268,"#8500E4","#00D3C4"
73,-61.6666666666667,78.3333333333333,0.0325939339067451,0.253055681303757,"#6A00DF","#00D2BF"
74,-58.3333333333333,78.3333333333333,0.0181077410593029,0.344499773653237,"#4300DA","#00D1BA"
75,-55,78.3333333333333,0.0108646446355817,0.41195110909914,"#2700D8","#00D0B5"
76,-51.6666666666667,78.3333333333333,0.00814848347668628,0.449524671797193,"#1700D7","#00CFB0"
77,-48.3333333333333,78.3333333333333,0.00588501584427343,0.485287460389316,"#0800D7","#00CEAB"
78,-45,78.3333333333333,0.00135808057944771,0.522408329560887,"#0007D8","#00CDA6"
79,-41.6666666666667,78.3333333333333,0.000452693526482571,0.553191489361702,"#0014D9","#00CCA1"
80,-38.3333333333333,78.3333333333333,0.000905387052965143,0.555907650520598,"#0015D9","#00CC9C"
81,-35,78.3333333333333,0.00181077410593029,0.54232684472612,"#0010D8","#00CB97"
82,-31.6666666666667,78.3333333333333,0.006337709370756,0.486192847442282,"#0800D7","#00CB92"
83,-28.3333333333333,78.3333333333333,0.00679040289723857,0.391127206880942,"#3000DA","#00CA8D"
84,-25,78.3333333333333,0.0167496604798551,0.308736985061114,"#5200DD","#00CA88"
85,-21.6666666666667,78.3333333333333,0.0547759167043911,0.165685830692621,"#8F00E5","#00C983"
86,-18.3333333333333,78.3333333333333,0.0928021729289271,0.126301493888637,"#A400E4","#00C97E"
87,11.6666666666667,78.3333333333333,0.186057039384337,0.370755998189226,"#4600B3","#00C854"
88,15,78.3333333333333,0.184246265278407,0.29923042100498,"#6800BC","#00C84F"
89,18.3333333333333,78.3333333333333,0.178361249434133,0.258488003621548,"#7B00C3","#00C94A"
90,21.6666666666667,78.3333333333333,0.200543232231779,0.290629244001811,"#6F00BA","#00C946"
91,25,78.3333333333333,0.18832050701675,0.328655500226347,"#5B00B7","#00CA41"
92,28.3333333333333,78.3333333333333,0.218198279764599,0.319601629696695,"#6400B2","#00CA3D"
93,31.6666666666667,78.3333333333333,0.224988682661838,0.315980081484835,"#6600B1","#00CB39"
94,51.6666666666667,78.3333333333333,0.137166138524219,0.233137166138524,"#7F00CE","#00CF1F"
95,65,78.3333333333333,0.138071525577184,0.179719330013581,"#9600D6","#00D30F"
96,68.3333333333333,78.3333333333333,0.127206880941603,0.184698958804889,"#9200D7","#00D40B"
97,88.3333333333334,78.3333333333333,0.0778632865550023,0.147578089633318,"#9A00E4","#0CDB00"
98,91.6666666666667,78.3333333333333,0.0525124490719783,0.109551833408782,"#A500ED","#0FDC00"
99,95,78.3333333333333,0.0457220461747397,0.149841557265731,"#9400E9","#13DD00"
100,98.3333333333334,78.3333333333333,0.0371208691715708,0.170665459483929,"#8B00E7","#17DE00"
101,101.666666666667,78.3333333333333,0.04753282028067,0.199185151652331,"#8100E2","#1AE000"
102,105,78.3333333333333,0.0520597555454957,0.208691715708465,"#7E00E0","#1EE100"
103,108.333333333333,78.3333333333333,0.0606609325486646,0.175192394748755,"#8D00E3","#21E200"
104,111.666666666667,78.3333333333333,0.0624717066545948,0.158895427795383,"#9300E5","#25E400"
105,148.333333333333,78.3333333333333,0.0389316432775011,0.0679040289723857,"#B200F4","#48F400"
106,-125,75,0.0583974649162517,0.0688094160253508,"#B500F1","#00AFE6"
107,-121.666666666667,75,0.0430058850158443,0.0715255771842463,"#B100F3","#00B1E5"
108,-118.333333333333,75,0.0366681756450883,0.0769578995020371,"#AE00F3","#00B3E3"
109,-115,75,0.0262562245359891,0.0674513354459031,"#B000F6","#00B5E2"
110,-111.666666666667,75,0.0280669986419194,0.0516070620190131,"#B600F8","#00B7E0"
111,-108.333333333333,75,0.0303304662743323,0.0452693526482571,"#B900F8","#00B9DF"
112,-105,75,0.0330466274332277,0.0470801267541874,"#B900F8","#00BBDD"
113,-101.666666666667,75,0.0276143051154368,0.066545948392938,"#B100F6","#00BDDC"
114,-98.3333333333333,75,0.0344047080126754,0.0778632865550023,"#AE00F4","#00BFDB"
115,-95,75,0.0425531914893617,0.0968764146672703,"#A800F0","#00C1D9"
116,-91.6666666666667,75,0.0407424173834314,0.0959710276143051,"#A800F0","#00C4D8"
117,-88.3333333333333,75,0.0416478044363966,0.0973291081937528,"#A800F0","#00C6D7"
118,-85,75,0.041195110909914,0.127206880941603,"#9C00EC","#00C8D5"
119,-81.6666666666667,75,0.0312358533272974,0.166591217745586,"#8C00E9","#00CBD4"
120,-78.3333333333333,75,0.0421004979628791,0.136713444997737,"#9900EB","#00CED3"
121,-71.6666666666667,75,0.11272068809416,0.0832956088727931,"#B800E8","#00D0CE"
122,-68.3333333333333,75,0.100497962879131,0.122679945676777,"#A700E4","#00CFC9"
123,-65,75,0.0805794477138977,0.164327750113173,"#9400E1","#00CEC4"
124,-61.6666666666667,75,0.0783159800814848,0.209597102761431,"#8100DC","#00CDBF"
125,-58.3333333333333,75,0.113626075147125,0.218198279764599,"#8200D4","#00CCB9"
126,-55,75,0.0946129470348574,0.307831598008148,"#5A00CD","#00CBB4"
127,-51.6666666666667,75,0.0362154821186057,0.456767768220914,"#1500D1","#00CAAF"
128,-48.3333333333333,75,0.019013128112268,0.541421457673155,"#000FD4","#00C9AA"
129,-45,75,0.00769578995020371,0.60570393843368,"#002AD9","#00C8A5"
130,-41.6666666666667,75,0.00271616115889543,0.644182888184699,"#003ADC","#00C8A0"
131,-38.3333333333333,75,0.00226346763241286,0.657311000452694,"#003FDD","#00C79B"
132,-35,75,0.00543232231779086,0.65142598460842,"#003DDC","#00C696"
133,-31.6666666666667,75,0.00724309642372114,0.6337709370756,"#0036DA","#00C691"
134,-28.3333333333333,75,0.00860117700316885,0.579900407424174,"#001FD8","#00C58C"
135,-25,75,0.0230873698506111,0.463558171118153,"#1200D4","#00C486"
136,-21.6666666666667,75,0.088727931190584,0.277501131733816,"#6600D2","#00C481"
